ID,Name,Coordinates,Type,Province
23,اشنویه,"45.073017644,37.072603271",county,2
1025,اصغرآباد,"51.479544082,32.66148556",city,4
54,اصفهان,"52.438532215,32.2443068",county,4
42,اصلاندوز,"47.551182627,39.361435888",county,3
811,اطاقور,"50.114515616,37.109778844",city,32
1071,افزر,"52.964907148,28.346841432",city,24
961,افوس,"50.089138696,33.021099481",city,4
1357,اقبالیه,"49.921871842,36.229067706",city,25
263,اقلید,"52.472495042,30.675555269",county,24
1150,اکبرآباد,"56.47,32.01",city,24
299,البرز,"50.185496054,36.224910266",county,25
1000,الشتر,"48.263783311,33.865127817",city,33
18843,القجر,"56.47,32.01",city,31
1126,الهائی,"48.589206661,31.656181338",city,20
1274,الوان,"48.347375493,31.875617435",city,20
1722,الوند,"50.059113454,36.186073671",city,25
390,الیگودرز,"49.414643573,33.126511807",county,33
1052,امام حسن,"50.267987023,29.838910178",city,7
895,امام زاده عبدالله,"52.305298061,36.410150972",city,34
725,امام شهر,"53.154083094,28.448928469",city,24
375,املش,"50.144446895,36.970205221",county,32
193,امیدیه,"49.698518393,30.761202779",county,20
927,امیرکلا,"52.665004422,36.599759744",city,34
1719,امیریه,"54.139233404,36.027978533",city,22
915,امین شهر,"55.341052066,30.842968177",city,28
922,انابد,"57.809553279,35.250583784",city,18
315,انار,"55.294462996,30.841999598",county,28
1876,انارستان,"52.073292044,28.031926296",city,7
1434,انارک,"53.694616882,33.308293646",city,4
1492,انبار آلوم,"54.618881169,37.134978149",city,31
1815,اندوهجرد,"57.754198655,30.251119504",city,28
194,اندیکا,"49.538402147,32.305708134",county,20
195,اندیمشک,"48.329251677,32.701327717",county,20
1190,انگوت,"56.47,32.01",county,3
3,اهر,"47.147440932,38.508886495",county,1
1534,اهرم,"51.276356011,28.886937268",city,7
1873,اهل,"53.660250651,27.209737981",city,24
196,اهواز,"48.750904049,31.222671934",county,20
615,اورامان تخت,"46.26445279,35.253334848",city,27
264,اوز,"53.882239981,27.869744023",county,24
1679,اولتان,"56.47,32.01",city,3
1827,ایج,"54.243689413,29.022113053",city,24
220,ایجرود,"48.19240678,36.340602644",county,21
197,ایذه,"49.987700277,31.861323342",county,20
235,ایرانشهر,"60.233593693,27.739179584",county,23
988,ایزدخواست,"52.126666048,31.518418448",city,24
567,ایزدشهر,"52.144831505,36.600924228",city,34
87,ایلام,"46.375440041,33.550349915",county,6
807,ایلخچی,"45.977513187,37.93746582",city,1
1850,اینچه برون,"54.717592843,37.4534319",city,31
88,ایوان,"46.167594716,33.883729274",county,6
908,ایوانکی,"52.066356037,35.345408347",city,22
993,ایواوغلی,"45.208933669,38.716797437",city,2
1642,ایور,"56.26072346,36.969013233",city,19
1265,باب انار,"53.199396657,28.969364842",city,24
1838,باباحیدر,"50.470667278,32.329478826",city,16
1595,بابارشانی,"47.797862414,35.679048797",city,27
1602,بابامنیر,"51.203111067,30.072811488",city,24
754,بابکان,"52.456091286,36.453043326",city,34
401,بابل,"52.624019209,36.298467768",county,34
402,بابلسر,"52.693634919,36.664967818",county,34
1688,باجگیران,"58.41911372,37.622030393",city,18
150,باخرز,"60.296908927,35.049028044",county,18
554,بادرود,"51.98944595,33.683341523",city,4
1471,بادوله,"51.504860798,28.390767956",city,7
870,بار,"58.715964362,36.491653039",city,18
24,باروق,"56.47,32.01",county,2
1359,بازار جمعه,"49.121159963,37.407365071",city,32
550,بازرگان,"44.386309337,39.389719666",city,2
698,بازفت,"50.047257392,32.205623724",city,16
1285,باسمنج,"46.473646537,37.992414089",city,1
351,باشت,"51.074616682,30.461316002",county,30
711,باغ بهادران,"51.192238414,32.37819088",city,4
12952,باغ صفا,"56.47,32.01",city,24
198,باغ ملک,"49.920675015,31.476034576",county,20
700,باغستان,"58.291114775,34.102019899",city,17
1611,باغستان,"51.148539782,35.623983463",city,8
645,باغشاد,"51.231907699,32.379616167",city,4
1487,باغین,"56.81467847,30.191982868",city,28
316,بافت,"56.482463649,29.021961214",county,28
1804,بافران,"53.141847316,32.838310751",city,4
460,بافق,"55.420778989,31.658691414",county,38
1665,باقر شهر,"51.400249458,35.534687418",city,8
1647,بالاده,"51.938259677,29.286747365",city,24
1386,بالاشهر,"57.353810372,27.213855649",city,36
1193,بام و صفی آباد,"56.47,32.01",county,19
1639,بان وره,"46.360530855,34.969993515",city,29
